session_id,history_session_at,source_type,avg_power_w,used_text,theoretical_text,eligibility,scene,network,navigation,context_source,network_coverage,app_attribution_quality,raw_file
2026-08-31 23:08,2026-08-31 23:08,scene_history_detail,2.31,2h21m,7h39m,main,home_wifi,wifi,false,baseline_confirmed,none_before_timeline,good,sync_raw/detail-2026-08-31-23-08-20260905-153806-25610-1.txt
2026-09-01 17:19,2026-09-01 17:19,scene_history_detail,2.07,2h13m,8h34m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-01-17-19-20260905-161703-14991-2.txt
2026-09-01 20:58,2026-09-01 20:58,scene_history_detail,1.91,40m47s,9h18m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-01-20-58-20260905-153102-9150-1.txt
2026-09-02 07:28,2026-09-02 07:28,scene_history_detail,2.31,1h36m,7h39m,main,home_wifi,wifi,false,baseline_confirmed,none_before_timeline,good,sync_raw/detail-2026-09-02-07-28-20260905-152531-27441.txt
2026-09-02 15:20,2026-09-02 15:20,scene_history_detail,3.17,2h15m,5h35m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-02-15-20.txt
2026-09-02 20:12,2026-09-02 20:12,scene_history_detail,1.84,1h40m,9h38m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-02-20-12-20260905-152231-21268.txt
2026-09-03 07:26,2026-09-03 07:26,scene_history_detail,3.15,2h24m,5h37m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-03-07-26-20260905-152039-15062.txt
2026-09-03 17:02,2026-09-03 17:02,scene_history_detail,2.5,1h4m,7h5m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-03-17-02.txt
2026-09-03 19:31,2026-09-03 19:31,scene_history_detail,2.12,1h26m,8h20m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-03-19-31-20260905-161703-14991-1.txt
2026-09-03 22:30,2026-09-03 22:30,scene_history_detail,1.92,47m30s,9h14m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-03-22-30.txt
2026-09-04 07:27,2026-09-04 07:27,scene_history_detail,2.69,1h56m,6h35m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-04-07-27.txt
2026-09-04 13:23,2026-09-04 13:23,scene_history_detail,1.67,45m45s,10h35m,main,unknown,unknown,,none,none_before_timeline,good,sync_raw/detail-2026-09-04-13-23.txt
